symbol,groww_slug
20MICRONS,20-microns-ltd
21STCENMGM,21st-century-management-services-ltd
360ONE,360-one-wam-ltd
3BBLACKBIO,3b-blackbio-dx-ltd
3IINFOLTD,3i-infotech-ltd
3MINDIA,3m-india-ltd
3PLAND,3p-land-holdings-ltd
5PAISA,5paisa-capital-ltd
63MOONS,63-moons-technologies-ltd
A2ZINFRA,a2z-infra-engineering-ltd
AAATECH,aaa-technologies-ltd
AADHARHFC,aadhar-housing-finance-ltd
AAKASH,aakash-exploration-services-ltd
AAREYDRUGS,aarey-drugs-pharmaceuticals-ltd
AARNAV,aarnav-fashions-ltd
AARON,aaron-industries-ltd
AARTECH,aartech-solonics-ltd
AARTIDRUGS,aarti-drugs-ltd
AARTIIND,aarti-industries-ltd
AARTIPHARM,aarti-pharmalabs-ltd
AARTISURF,aarti-surfactants-ltd
AARVI,aarvi-encon-ltd
AASTHA,aastha-spintex-ltd
AAVAS,aavas-financiers-ltd
ABAN,aban-offshore-ltd
ABANSENT,abans-enterprises-ltd
ABB,abb-india-ltd
ABBOTINDIA,abbott-india-ltd
ABCAPITAL,aditya-birla-capital-ltd
ABCOTS,a-b-cotspin-india-ltd
ABDL,allied-blenders-and-distillers-ltd
ABFRL,aditya-birla-fashion-and-retail-ltd
ABINFRA,a-b-infrabuild-ltd
ABLBL,aditya-birla-lifestyle-brands-ltd
ABMINTLLTD,abm-international-ltd
ABMKNO,abm-knowledgeware-ltd
ABREL,aditya-birla-real-estate-ltd
ABSLAMC,aditya-birla-sun-life-amc-ltd
ACC,acc-ltd
ACCELYA,accelya-solutions-india-ltd
ACCURACY,accuracy-shipping-ltd
ACE,action-construction-equipment-ltd
ACEINTEG,ace-integrated-solutions-ltd
ACGL,automobile-corporation-of-goa-ltd
ACI,archean-chemical-industries-ltd
ACL,andhra-cements-ltd
ACMESOLAR,acme-solar-holdings-ltd
ACSTECH,acs-technologies-ltd
ACUTAAS,acutaas-chemicals-ltd
ADANIENSOL,adani-energy-solutions-ltd
ADANIENT,adani-enterprises-ltd
ADANIGREEN,adani-green-energy-ltd
ADANIPORTS,adani-ports-and-special-economic-zone-ltd
ADANIPOWER,adani-power-ltd
ADDIND,addi-industries-ltd
ADFFOODS,adf-foods-ltd
ADL,archidply-decor-ltd
ADOR,ador-welding-ltd
ADROITINFO,adroit-infotech-ltd
ADSL,allied-digital-services-ltd
ADVAIT,advait-energy-transitions-ltd
ADVANCE,advance-agrolife-ltd
ADVANIHOTR,advani-hotels-resorts-india-ltd
ADVENTHTL,advent-hotels-international-ltd
ADVENZYMES,advanced-enzyme-technologies-ltd
ADVIKCA,advik-capital-ltd
AEGISLOG,aegis-logistics-ltd
AEGISVOPAK,aegis-vopak-terminals-ltd
AEPL,artemis-electricals-and-projects-ltd
AEQUS,aequs-ltd
AEROENTER,aeroflex-enterprises-ltd
AEROFLEX,aeroflex-industries-ltd
AERONEU,aeroflex-neu-ltd
AEROPLANE,amir-chand-jagdish-kumar-exports-ltd
AETHER,aether-industries-ltd
AFCONS,afcons-infrastructure-ltd
AFFLE,affle-3i-ltd
AFFORDABLE,affordable-robotic-automation-ltd
AFIL,akme-fintrade-india-ltd
AFSL,abans-financial-services-ltd
AGARIND,agarwal-industrial-corporation-ltd
AGARWALEYE,dr-agarwal-s-health-care-ltd
AGI,agi-greenpac-ltd
AGIIL,agi-infra-ltd
AGL,allcargo-global-ltd
AGRITECH,agri-tech-india-ltd
AGROPHOS,agro-phos-india-ltd
AGSTRA,ags-transact-technologies-ltd
AHCL,anlon-healthcare-ltd
AHLADA,ahlada-engineers-ltd
AHLEAST,asian-hotels-east-ltd
AHLUCONT,ahluwalia-contracts-india-ltd
AHLWEST,asian-hotels-west-ltd
AIAENG,aia-engineering-ltd
AIIL,authum-investment-infrastructure-ltd
AIRAN,airan-ltd
AIROLAM,airo-lam-ltd
AJANTPHARM,ajanta-pharma-ltd
AJAXENGG,ajax-engineering-ltd
AJMERA,ajmera-realty-infra-india-ltd
AJOONI,ajooni-biotech-ltd
AKASH,akash-infra-projects-ltd
AKCAPIT,ak-capital-services-ltd
AKG,akg-exim-ltd
AKI,aki-india-ltd
AKSHAR,akshar-spintex-ltd
AKSHARCHEM,aksharchem-india-ltd
AKSHOPTFBR,aksh-optifibre-ltd
AKUMS,akums-drugs-and-pharmaceuticals-ltd
ALANKIT,alankit-ltd
ALBERTDAVD,albert-david-ltd
ALEMBICLTD,alembic-ltd
ALFREDHE,alfred-herbert-india-ltd
ALGOQUANT,algoquant-fintech-ltd
ALICON,alicon-castalloy-ltd
ALIVUS,alivus-life-sciences-ltd
ALKALI,alkali-metals-ltd
ALKEM,alkem-laboratories-ltd
ALKYLAMINE,alkyl-amines-chemicals-ltd
ALLCARGO,allcargo-logistics-ltd
ALLDIGI,alldigi-tech-ltd
ALLTIME,all-time-plastics-ltd
ALMONDZ,almondz-global-securities-ltd
ALOKINDS,alok-industries-ltd
ALPA,alpa-laboratories-ltd
ALPHAGEO,alphageo-india-ltd
ALPINETEX,alpine-texworld-ltd
ALUFLUOR,alufluoride-ltd
AMAGI,amagi-media-labs-ltd
AMAL,amal-ltd
AMANTA,amanta-healthcare-ltd
AMARJOTHI,amarjothi-spinning-mills-ltd
AMBALALSA,ambalal-sarabhai-enterprises-ltd
AMBER,amber-enterprises-india-ltd
AMBICAAGAR,ambica-agarbathies-aroma-industries-ltd
